dataset,source_name,channel,fs,location,policy,boundary_rmse_uv
chbmit,chb10_01.edf,0,256.0,record_start,reflect_zerophase,0.0
chbmit,chb10_01.edf,0,256.0,interior,causal,79.236878
chbmit,chb10_01.edf,0,256.0,interior,reflect_zerophase,18.012458
chbmit,chb10_01.edf,0,256.0,interior,prefetch,0.001491
chbmit,chb10_01.edf,1,256.0,record_start,causal,2.260206
chbmit,chb10_01.edf,1,256.0,record_start,reflect_zerophase,0.000213
chbmit,chb10_01.edf,1,256.0,interior,causal,117.75815
chbmit,chb10_01.edf,1,256.0,interior,reflect_zerophase,11.218327
chbmit,chb10_01.edf,1,256.0,interior,prefetch,0.000444
chbmit,chb10_01.edf,2,256.0,record_start,causal,2.231698
chbmit,chb10_01.edf,2,256.0,record_start,reflect_zerophase,0.000565
chbmit,chb10_01.edf,2,256.0,interior,causal,76.354951
chbmit,chb10_01.edf,2,256.0,interior,reflect_zerophase,2.806535
chbmit,chb10_01.edf,2,256.0,interior,prefetch,0.000803
chbmit,chb10_01.edf,3,256.0,record_start,causal,383.095746
chbmit,chb10_01.edf,3,256.0,record_start,reflect_zerophase,379.307188
chbmit,chb10_01.edf,3,256.0,interior,causal,68.510786
chbmit,chb10_01.edf,3,256.0,interior,reflect_zerophase,9.611825
chbmit,chb10_01.edf,3,256.0,interior,prefetch,0.000735
chbmit,chb11_01.edf,0,256.0,record_start,causal,13.427991
chbmit,chb11_01.edf,0,256.0,record_start,reflect_zerophase,4.261038
chbmit,chb11_01.edf,0,256.0,interior,causal,22.066847
chbmit,chb11_01.edf,0,256.0,interior,reflect_zerophase,0.611559
chbmit,chb11_01.edf,0,256.0,interior,prefetch,0.000443
chbmit,chb11_01.edf,1,256.0,record_start,causal,20.605717
chbmit,chb11_01.edf,1,256.0,record_start,reflect_zerophase,3.222261
chbmit,chb11_01.edf,1,256.0,interior,causal,24.926776
chbmit,chb11_01.edf,1,256.0,interior,reflect_zerophase,0.920645
chbmit,chb11_01.edf,1,256.0,interior,prefetch,0.00143
chbmit,chb11_01.edf,2,256.0,record_start,causal,16.312554
chbmit,chb11_01.edf,2,256.0,record_start,reflect_zerophase,5.32872
chbmit,chb11_01.edf,2,256.0,interior,causal,30.038901
chbmit,chb11_01.edf,2,256.0,interior,reflect_zerophase,1.066731
chbmit,chb11_01.edf,2,256.0,interior,prefetch,0.000973
chbmit,chb11_01.edf,3,256.0,record_start,causal,22.560516
chbmit,chb11_01.edf,3,256.0,record_start,reflect_zerophase,9.120537
chbmit,chb11_01.edf,3,256.0,interior,causal,36.68903
chbmit,chb11_01.edf,3,256.0,interior,reflect_zerophase,0.498739
chbmit,chb11_01.edf,3,256.0,interior,prefetch,0.001857
